"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349,0,0,0,0
"X2",0,0.0342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353,0,0
"X3",0,0,0.0292,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0
"X4",0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0.031,0.0363,0,0,0
"X5",0,0,0,0,0.0339,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0
"X6",0,0,0,0,0,0.0414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441
"X7",0,0,0,0,0,0,0.0372,0,0,0,0,0,0.0284,0,0,0,0,0,0,0.0367
"X8",0,0,0,0,0,0,0,0.0318,0,0,0,0,0,0,0,0,0,0,0.0325,0
"X9",0,0,0,0,0,0,0,0,0.0338,0,0,0,0,0,0,0.0322,0,0,0,0
"X10",0,0,0,0,0,0.037,0,0,0,0.0379,0,0.0271,0,0,0,0,0.0368,0,0,0
