"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","X10_r2","status"
"data1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data12",83609.899,126,104,0,0.3641,0.1164,0.5983,0.7336,54628.8989,53951.1316,-26871.5658,0.9771,0.546,0.1758,0.5944,0.9999,0.9808,0.9897,0.9924,0.9164,0.878,"last known convergence"
"data13",103591.3958,128,102,0,0.4021,0.1246,0.5145,0.6729,71649.7046,70984.9713,-35390.4857,0.9774,0.5299,0.176,0.5997,0.9999,0.9802,0.9922,0.6296,0.9417,0.8729,"last known convergence"
"data14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data15",105288.1681,128,102,0,0.4054,0.1264,0.5156,0.6737,67453.4867,66788.7534,-33292.3767,0.9832,0.5226,0.1722,0.6009,0.9999,0.9804,0.9906,0.623,0.951,0.8755,"last known convergence"
"data16",95638.7712,127,103,0,0.3879,0.1194,0.5616,0.707,54102.1445,53430.8942,-26612.4471,0.9812,0.5127,0.1664,0.5935,0.9999,0.9842,0.9911,0.9684,0.9252,0.896,"last known convergence"
"data17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data19",92256.9434,127,103,0,0.3809,0.1159,0.5692,0.712,56747.3739,56076.1236,-27935.0618,0.9819,0.524,0.172,0.6013,0.9999,0.9794,0.9929,0.9627,0.9286,0.8717,"last known convergence"
"data2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data21",84705.7807,126,104,0,0.3664,0.1162,0.5982,0.7336,51673.8056,50996.0383,-25394.0191,0.9782,0.5507,0.1899,0.5937,0.9999,0.9822,0.9909,0.993,0.9195,0.8788,"last known convergence"
"data22",92317.8682,127,103,0,0.3811,0.1183,0.5596,0.7056,63533.9348,62862.6845,-31328.3423,0.9791,0.533,0.1792,0.5966,0.9999,0.9796,0.9867,0.9596,0.9245,0.8738,"last known convergence"
"data23",105505.8686,128,102,0,0.4058,0.1264,0.5115,0.6709,69683.7017,69018.9684,-34407.4842,0.9796,0.5255,0.1782,0.5962,0.9999,0.982,0.9908,0.6242,0.9418,0.8828,"last known convergence"
"data24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data25",93565.5881,127,103,0,0.3836,0.1167,0.568,0.7112,54418.9121,53747.6618,-26770.8309,0.9832,0.5392,0.1871,0.6006,0.9999,0.9797,0.9917,0.9655,0.9365,0.872,"last known convergence"
"data26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data27",84500.6214,126,104,0,0.366,0.1108,0.5995,0.7344,51209.0916,50531.3243,-25161.6621,0.9766,0.5156,0.163,0.5962,0.9999,0.9834,0.9927,0.9604,0.985,0.8854,"last known convergence"
"data28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data31",76937.5423,125,105,0,0.3506,0.1117,0.6373,0.7614,39440.4796,38756.1953,-19273.0977,0.9794,0.5283,0.1666,0.5982,0.9999,0.9831,0.9918,0.9937,0.9863,0.8904,"last known convergence"
"data32",105552.4279,128,102,0,0.4059,0.1277,0.5089,0.6692,71283.1037,70618.3704,-35207.1852,0.9788,0.5107,0.176,0.5932,0.9999,0.9819,0.9899,0.6194,0.9425,0.8819,"last known convergence"
"data33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
