"lhs","op","rhs","count.group"
"V2","~","V1",60
"V1","~","V1lag",60
"V2","~","V1lag",60
"V1","~","V2",60
"V1","~","V2lag",60
"V2","~","V2lag",60
"V1","~","V3",60
"V2","~","V3",60
"V4","~","V3",60
"V1","~","V3lag",60
"V2","~","V3lag",60
"V3","~","V3lag",60
"V4","~","V3lag",60
"V1","~","V4",60
"V2","~","V4",60
"V3","~","V4",60
"V2","~","V4lag",60
"V3","~","V4lag",60
"V4","~","V4lag",60
"V1","~","V5",60
"V2","~","V5",60
"V4","~","V5",60
"V1","~","V5lag",60
"V2","~","V5lag",60
"V3","~","V5lag",60
"V5","~","V5lag",60
