"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0094,0.0141,0.012,0.0124,0,0.0024,0,0,0,0.0027,0,0.0108,0.0094,0.0144,0.0083,0.0024,0.0067,0,0,0.0022
"X2",0,0.0148,0.0111,0,0,0.003,0.0077,0,0,0,0,0,0.011,0,0,0.003,0.0072,0,0,0.0029
"X3",0,0.0038,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",0.0218,0.035,0.017,0.027,0.0135,0.0071,0.01,0.0332,0.0346,0.0073,0.0569,0,0.0117,0,0,0,0.0073,0,0.0079,0
"X5",0.0053,0.0085,0,0.0065,0.0042,0.0015,0.003,0.0066,0.0074,0.0015,0.0096,0,0.0033,0.0064,0,0.001,0.0025,0.0032,0.0037,0.001
"X6",0,0,0,0,0,0.0137,0,0,0,0.0134,0,0,0,0,0,0,0,0,0,0.0136
"X7",0,0.0151,0.0134,0,0,0.0059,0.0149,0,0,0,0,0,0,0,0,0.0054,0,0,0,0.0055
"X8",0,0,0.0163,0,0,0.0063,0,0.0206,0.0201,0.0067,0,0,0.0106,0,0,0.0062,0,0,0,0.0061
"X9",0,0,0,0.0145,0.0094,0.0048,0.0095,0,0.0076,0,0.018,0,0.0115,0.0156,0,0.0036,0.0073,0.0067,0,0.0035
"X10",0,0,0,0,0,0.0138,0,0,0,0.0138,0,0,0,0,0,0,0,0,0,0
