"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-0.208,-0.0901,-0.2213,0.1345,0,0.1145,0,0,0,-0.0973,0,0.2699,-0.2138,1.0442,0.3841,-0.0148,0.1428,0,0,-0.0403
"V2",0,0.1063,-0.6996,0,0,-0.0249,0.0633,0,0,0,0,0,0.3566,0,0,0.0556,-0.3352,0,0,-0.0293
"V3",0,1.0372,-0.7747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-0.4987,1.7226,0.1926,-1.065,0.3919,0.1864,0.2188,1.5076,-1.7497,-0.2065,-2.0824,0,0.1666,0,0,0,-0.1151,0,-0.0938,0
"V5",0.1469,-0.3139,0,-0.2134,-0.6266,0.0237,-0.3292,0.1612,0.255,-0.0349,0.6129,0,0.0287,-0.0288,0,0.0117,-0.0197,0.0333,-0.0964,0.0113
"V6",0,0,0,0,0,0.2862,0,0,0,-0.2922,0,0,0,0,0,0,0,0,0,0
"V7",0,0.8631,0.202,0,0,-0.0707,0.174,0,0,0,0,0,0,0,0,0.1728,0,0,0,-0.093
"V8",0,0,1.0972,0,0,-0.1534,0,0.4694,-0.5522,-0.1658,0,0,-0.4057,0,0,0.0585,0,0,0,-0.0169
"V9",0,0,0,0.3139,-0.0449,-0.1126,-0.0905,0,0.0926,0,0.3595,0,0.1918,0.2653,0,-0.0822,0.2964,0.7065,0,-0.0965
"V10",0,0,0,0,0,0.2146,0,0,0,0.1727,0,0,0,0,0,0.1531,0,0,0,0
