"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-0.2082,-0.0924,-0.2109,0.1175,0,0.1145,0,0,0,-0.0998,0,0.2767,-0.2148,1.0407,0.376,-0.0115,0.1377,0,0,-0.0395
"V2",0,0.1044,-0.7156,0,0,-0.0221,0.0598,0,0,0,0,0,0.3413,0,0,0.0524,-0.3195,0,0,-0.0297
"V3",0,1.0337,-0.7707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-0.5126,1.7627,0.1726,-1.1244,0.4012,0.2039,0.201,1.5637,-1.7744,-0.2234,-2.218,0,0.1577,0,0,0,-0.0994,0,-0.0988,0
"V5",0.1417,-0.2968,0,-0.2098,-0.6299,0.0211,-0.3218,0.1618,0.2419,-0.0337,0.6091,0,0.0217,-0.0334,0,0.0128,-0.0254,0.0286,-0.0935,0.0105
"V6",0,0,0,0,0,0.2917,0,0,0,-0.292,0,0,0,0,0,0,0,0,0,0
"V7",0,0.8486,0.2181,0,0,-0.0561,0.149,0,0,0,0,0,0,0,0,0.1594,0,0,0,-0.0927
"V8",0,0,1.1175,0,0,-0.152,0,0.5025,-0.5823,-0.1693,0,0,-0.422,0,0,0.0471,0,0,0,-0.0302
"V9",0,0,0,0.3095,-0.0473,-0.1084,-0.0771,0,0.0876,0,0.3787,0,0.1851,0.2742,0,-0.0904,0.2992,0.7276,0,-0.095
"V10",0,0,0,0,0,0.2104,0,0,0,0.1832,0,0,0,0,0,0.2142,0,0,0,0
