"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-0.2061,-0.0908,-0.2196,0.1158,0,0.1131,0,0,0,-0.0992,0,0.2648,-0.2113,1.0404,0.3779,-0.0153,0.1442,0,0,-0.0412
"V2",0,0.0997,-0.704,0,0,-0.0241,0.0554,0,0,0,0,0,0.345,0,0,0.0467,-0.3267,0,0,-0.033
"V3",0,1.0346,-0.7727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-0.4842,1.7121,0.2138,-1.1337,0.3834,0.1973,0.2161,1.5369,-1.7942,-0.2218,-2.1537,0,0.1781,0,0,0,-0.104,0,-0.094,0
"V5",0.1367,-0.2873,0,-0.2178,-0.6209,0.0247,-0.3182,0.1781,0.2341,-0.0362,0.5989,0,0.03,-0.0405,0,0.013,-0.0267,0.0333,-0.0961,0.012
"V6",0,0,0,0,0,0.3,0,0,0,-0.2805,0,0,0,0,0,0,0,0,0,0
"V7",0,0.8234,0.2369,0,0,-0.0691,0.1322,0,0,0,0,0,0,0,0,0.174,0,0,0,-0.0898
"V8",0,0,1.1126,0,0,-0.1462,0,0.4857,-0.5693,-0.1758,0,0,-0.4061,0,0,0.0446,0,0,0,-0.0244
"V9",0,0,0,0.3027,-0.0386,-0.1118,-0.0882,0,0.0969,0,0.3479,0,0.1859,0.2769,0,-0.0864,0.2853,0.7157,0,-0.1008
"V10",0,0,0,0,0,0.2134,0,0,0,0.1856,0,0,0,0,0,0.1749,0,0,0,0
