"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","X10_r2","status"
"data1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data10",6381.8142,101,129,0,0.1115,0.0231,0.9284,0.9619,126001.4465,125160.7544,-62451.3772,0.9999,0.6815,0.1029,0.9408,0.6149,0.8347,0.4782,0.7346,0.6413,"converged normally"
"data11",6481.8837,101,129,0,0.1124,0.0232,0.9253,0.9603,130460.9009,129620.2088,-64681.1044,0.9999,0.6698,0.0216,0.9333,0.6187,0.8188,0.5,0.7265,0.6241,"converged normally"
"data12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data14",6298.6347,101,129,0,0.1108,0.0233,0.928,0.9617,129049.8833,128209.1912,-63975.5956,0.9999,0.6485,0.9325,0.6164,0.828,0.4922,0.7351,0.6364,6298.6347,"converged normally"
"data15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data19",6183.1391,101,129,0,0.1098,0.0216,0.9289,0.9622,129947.2943,129106.6022,-64424.3011,0.9999,0.6531,0.9353,0.6159,0.8271,0.4552,0.7259,0.6347,6183.1391,"converged normally"
"data2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data22",6517.2118,101,129,0,0.1127,0.0228,0.9258,0.9605,128550.7183,127710.0261,-63726.0131,0.9999,0.6673,0.9346,0.6258,0.8235,0.4636,0.7273,0.6386,6517.2118,"converged normally"
"data23",6459.2937,101,129,0,0.1122,0.0231,0.9249,0.9601,131794.695,130954.0029,-65348.0015,0.9999,0.6631,0.9314,0.6061,0.82,0.47,0.7168,0.6318,6459.2937,"converged normally"
"data24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
