"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","status"
"data1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data11",62397.266,80,72,0,0.3947,0.1048,0.607,0.738,52028.0663,51558.8428,-25707.4214,0.9518,0.9999,0.3203,0.927,0.9008,0.9217,0.3186,0.8357,"last known convergence"
"data12",63337.9364,80,72,0,0.3977,0.1009,0.6164,0.7443,43445.1669,42975.9434,-21415.9717,0.9605,0.9999,0.3635,0.9345,0.9094,0.9353,0.3344,0.8411,"last known convergence"
"data13",74883.5155,81,71,0,0.4298,0.1954,0.5629,0.7049,48855.5292,48392.8227,-24125.4114,0.9663,1,0.4286,0.9383,0.2239,0.9446,0.3251,0.8372,"last known convergence"
"data14",74050.0536,81,71,0,0.4274,0.1928,0.5548,0.6995,55388.8217,54926.1152,-27392.0576,0.9588,0.9999,0.3652,0.9355,0.2596,0.9368,0.3399,0.8311,"last known convergence"
"data15",74164.6716,81,71,0,0.4277,0.1907,0.562,0.7043,51076.3253,50613.6188,-25235.8094,0.9621,1,0.3835,0.9374,0.3043,0.9397,0.3411,0.8506,"last known convergence"
"data16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data23",73193.284,81,71,0,0.4249,0.1864,0.5608,0.7035,54044.4426,53581.7361,-26719.8681,0.9583,0.9999,0.3517,0.9365,0.3684,0.9315,0.3331,0.8575,"last known convergence"
"data24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data27",63434.1724,80,72,0,0.398,0.0985,0.6183,0.7456,41929.2564,41460.0329,-20658.0165,0.9612,0.9999,0.3791,0.937,0.9151,0.9388,0.3134,0.8503,"last known convergence"
"data28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data33",57252.4215,79,73,0,0.3805,0.0364,0.6579,0.7748,30883.9405,30408.2,-15131.1,0.967,1,0.8395,0.9395,0.9132,0.9469,0.3242,0.8347,"last known convergence"
"data34",74364.6816,81,71,0,0.4283,0.1911,0.5547,0.6994,54720.3604,54257.6539,-27057.8269,0.9583,0.9999,0.3559,0.9362,0.2967,0.9358,0.3237,0.8403,"last known convergence"
"data35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data37",73074.6975,81,71,0,0.4246,0.1914,0.5618,0.7042,53791.9828,53329.2763,-26593.6382,0.9618,0.9999,0.3967,0.9358,0.2715,0.9367,0.3233,0.8348,"last known convergence"
"data38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data39",73371.9201,81,71,0,0.4254,0.1957,0.5623,0.7046,52753.8382,52291.1316,-26074.5658,0.9651,1,0.4328,0.9334,0.1965,0.9424,0.3351,0.8124,"last known convergence"
"data4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data43",57419.4284,79,73,0,0.381,0.0366,0.654,0.7722,33197.393,32721.6525,-16287.8262,0.9654,1,0.836,0.9382,0.9112,0.9448,0.3068,0.8325,"last known convergence"
"data44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data45",62953.9157,80,72,0,0.3965,0.0848,0.632,0.7547,34127.6903,33658.4668,-16757.2334,0.9713,1,0.4913,0.9387,0.9132,0.9506,0.3158,0.8342,"last known convergence"
"data46",63302.8728,80,72,0,0.3976,0.086,0.6318,0.7545,33217.7024,32748.4789,-16302.2395,0.9712,1,0.4849,0.9372,0.9127,0.9519,0.3381,0.8418,"last known convergence"
"data47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data56",74112.9936,81,71,0,0.4276,0.1915,0.5636,0.7055,50246.4882,49783.7817,-24820.8908,0.9636,1,0.3977,0.94,0.285,0.9429,0.3386,0.8489,"last known convergence"
"data57",63928.73,80,72,0,0.3996,0.0886,0.6272,0.7515,34462.475,33993.2515,-16924.6257,0.9689,1,0.4598,0.9405,0.9138,0.95,0.3306,0.8423,"last known convergence"
"data58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data7",74051.1276,81,71,0,0.4274,0.1928,0.5711,0.7105,45993.8617,45531.1552,-22694.5776,0.9685,1,0.4552,0.9386,0.2604,0.9482,0.334,0.855,"last known convergence"
"data8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
