"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",-0.2131,-0.113,-0.2109,0.1239,0,0.1224,0,0,0,-0.1105,0,0.2726,-0.2015,1.039,0.3696,-0.016,0.1542,0,0,-0.0396
"X2",0,0.1063,-0.7215,0,0,-0.0292,0.0649,0,0,0,0,0,0.3401,0,0,0.0615,-0.3214,0,0,-0.033
"X3",0,1.0279,-0.7666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",-0.4916,1.7016,0.1829,-1.1062,0.3932,0.208,0.2115,1.5453,-1.7774,-0.2194,-2.1554,0,0.1796,0,0,0,-0.1063,0,-0.0851,0
"X5",0.1321,-0.2839,0,-0.2126,-0.6225,0.0245,-0.318,0.1778,0.23,-0.0378,0.595,0,0.0222,-0.0379,0,0.0131,-0.0225,0.0273,-0.0927,0.0126
"X6",0,0,0,0,0,0.275,0,0,0,-0.3166,0,0,0,0,0,0,0,0,0,0.1814
"X7",0,0.8601,0.186,0,0,-0.0805,0.167,0,0,0,0,0,0,0,0,0.1809,0,0,0,-0.1028
"X8",0,0,1.0827,0,0,-0.1462,0,0.4682,-0.5675,-0.1738,0,0,-0.4177,0,0,0.0477,0,0,0,-0.0332
"X9",0,0,0,0.3038,-0.031,-0.1293,-0.0778,0,0.0989,0,0.349,0,0.1829,0.277,0,-0.0832,0.2888,0.7128,0,-0.0973
"X10",0,0,0,0,0,0.2713,0,0,0,0.1324,0,0,0,0,0,0,0,0,0,0
