"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.6603,0,0,0,0,0,0,0,-0.088,0,0,0,0,0,0,0.102,0,0.1718,0,0
"X2",0,0.5865,0.0896,0,-0.1049,0,0,-0.1094,0,-0.1002,0,0,0,0,0.1479,0,0,0.2801,0,0.1424
"X3",0,0,0.4537,0,0,0,0.0492,0,-0.071,0,0,0.4526,0,0,0,0,0,0,0,0.0712
"X4",0,0,-0.0561,0.4816,0,0,0,0,0,0,0.0773,0.173,0,0,0.2534,0,0.1286,0,0,0
"X5",0,0,0,0.1206,0.6292,0,-0.0807,0,0,-0.091,0,0,0,0,0,0.0834,0.1166,0,0,0.1229
"X6",0,0,0,-0.0468,0,0.4568,0,0,0,0.2015,0,0,0,0.1492,0,0,0,0,0.19,0
"X7",0,0,0,0,0,-0.0996,0.5938,0,0,0,0,0,0.1816,0,0,0,0,0,0,0.2292
"X8",0,0,0,0,0,-0.1065,0,0.624,0.1506,-0.073,0,0,0,0,0,0.1436,0,0,0,0.1017
"X9",-0.049,-0.1127,0,0,0,0,0,0,0.5209,0,0,0.1667,0,0.1097,0,0,0,0.3116,0,0.0227
"X10",0,0,0,0,0,0,0.0694,0,0,0.4221,0,0,0,0,0,0.423,0,0,0,0
