"lhs","op","rhs","count.group"
"V1","~","V1lag",60
"V1","~","V2",60
"V3","~","V2",60
"V5","~","V2",60
"V1","~","V2lag",60
"V2","~","V2lag",60
"V4","~","V2lag",60
"V5","~","V2lag",60
"V7","~","V2lag",60
"V1","~","V3lag",60
"V2","~","V3lag",60
"V3","~","V3lag",60
"V5","~","V3lag",60
"V3","~","V4",60
"V5","~","V4",60
"V6","~","V4",60
"V1","~","V4lag",60
"V2","~","V4lag",60
"V3","~","V4lag",60
"V4","~","V4lag",60
"V5","~","V4lag",60
"V1","~","V5",60
"V1","~","V5lag",60
"V3","~","V5lag",60
"V5","~","V5lag",60
"V6","~","V5lag",60
"V7","~","V5lag",60
"V4","~","V6",60
"V5","~","V6",60
"V3","~","V6lag",60
"V6","~","V6lag",60
"V3","~","V7",60
"V4","~","V7",60
"V6","~","V7",60
"V4","~","V7lag",60
"V6","~","V7lag",60
"V7","~","V7lag",60
"V3","~","V8",60
"V1","~","V8lag",60
"V2","~","V8lag",60
"V3","~","V8lag",60
"V5","~","V8lag",60
"V8","~","V8lag",60
