49	39	51	52	9	11	43	4	21	16
45	7	46	60	30	14	4	34	2	54
8	27	39	49	28	3	17	35	41	15
30	49	35	31	19	23	43	56	25	53
41	34	38	28	23	27	4	22	51	40
44	46	60	49	58	54	7	21	26	14
3	58	43	9	57	39	21	5	22	8
48	55	1	38	57	14	46	16	2	5
48	42	46	36	47	2	22	14	26	45
17	36	2	9	47	11	45	18	35	3
45	30	55	17	22	7	53	23	5	37
31	20	44	48	15	30	24	9	32	57
7	54	32	25	9	14	57	29	19	40
53	44	24	35	36	8	27	17	31	49
26	2	54	53	21	15	43	28	30	35
6	52	55	60	48	51	1	28	34	20
39	46	34	37	16	47	24	58	44	14
25	33	26	6	42	2	24	55	51	27
55	23	52	15	51	50	22	34	30	46
13	1	52	14	57	36	17	44	46	49
24	48	10	36	40	5	29	59	14	12
51	30	9	14	37	31	16	33	38	15
25	22	46	8	51	16	27	42	36	57
42	8	55	51	29	38	53	7	40	43
47	12	25	1	19	8	58	31	42	22
32	55	53	60	51	3	44	18	12	42
21	10	2	55	39	48	51	37	57	14
54	55	18	5	43	57	40	24	34	9
32	38	1	27	50	7	24	35	16	49
42	13	33	51	32	60	49	45	7	10
10	2	1	34	35	51	40	16	26	14
44	7	60	47	42	19	32	25	5	43
42	16	57	11	17	23	13	58	37	10
32	18	27	53	13	1	49	37	58	52
7	59	21	36	23	1	30	27	13	3
51	3	19	45	55	33	43	39	34	52
57	32	24	39	25	8	58	30	21	52
46	31	29	6	15	25	35	38	52	48
6	57	10	56	34	14	4	16	43	54
22	8	10	4	40	5	34	58	54	26
18	50	48	54	1	36	56	6	53	19
15	21	60	23	24	36	43	58	44	38
50	11	4	35	40	7	6	32	43	42
6	44	53	26	4	14	40	3	23	28
58	13	7	37	60	55	14	33	43	52
30	45	54	52	12	31	43	11	39	25
35	16	5	17	52	26	15	41	53	2
53	48	19	39	17	52	16	9	57	25
40	58	19	5	45	21	32	10	4	8
50	18	23	38	46	43	21	11	34	1
17	38	35	19	56	7	40	9	23	43
22	5	33	16	8	39	27	10	6	11
9	20	56	31	14	25	37	30	32	45
23	45	10	4	20	59	21	52	32	18
56	54	50	15	16	43	38	27	51	25
60	29	30	44	22	25	8	41	58	34
48	14	50	52	17	40	19	15	9	34
33	49	16	11	25	27	43	7	3	60
2	9	41	30	31	45	43	27	15	7
54	58	55	37	6	5	10	2	38	8
