"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-1.8187,0,0,0,11.668,0,-3.6281,0,-4.5295,0,0,0,0,14.451,-2.6708,0.028,0,0,0,0
"V2",0,0.7238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.7038,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-243.9428,0,0,481.8224,0,46.5745,0,-87.8903,0,0,-283.5059,0,0,0,0,0,0,0,0,0
"V5",0,0,0,0.6066,1.1414,-0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,-0.7468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6131
"V7",0,0,0,0,0,0,0.9917,0,0,-1.0515,0,0,0,0,0,0,0,0,0,0
"V8",0,0.1817,0,0,0,0,0,1.3591,0.8548,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,-0.2654,0,-0.8617,0.1636,0,0,0,0,0,0,0,0,0.0023,0,0
"V10",0,0,0,0,0,0.6227,0,0,0,-1.8303,0,0,0,0,0,-0.6473,0,0,0,0
