"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-1.7644,0,0,0,11.155,0,-3.0566,0,-4.4436,0,0,0,0,14.2768,-2.5929,0.0435,0,0,0,0
"V2",0,0.7031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.6905,0.0416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-193.3023,0,0,382.6934,0,34.6769,0,-69.3658,0,0,-225.1181,0,0,0,0,0,0,0,0,0
"V5",0,0,0,0.6279,1.1411,-0.1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,-0.7458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6113
"V7",0,0,0,0,0,0,0.9891,0,0,-1.1454,0,0,0,0,0,0,0,0,0,0
"V8",0,0.1667,0,0,0,0,0,1.362,0.8569,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,-0.2516,0,-0.8561,0.1685,0,0,0,0,0,0,0,0,-0.0027,0,0
"V10",0,0,0,0,0,0.6188,0,0,0,-1.831,0,0,0,0,0,-0.6486,0,0,0,0
