"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0,0,0,0,0,0,0,0,0,0,3.4374,0,0,0,0,0,0,0,0,0
"V2",0,0,0,0,0,0,0,0,0,0,0,0.0108,0,0,0,0,0,0,0,0
"V3",0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0,0,0,0,0,0,0
"V4",0,0,0,0,0,0,0,0,0,0,0,0,0,1748.9342,0,0,0,0,0,0
"V5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0,0,0,0,0
"V6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139,0,0,0,0
"V7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109,0,0,0
"V8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0
"V9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"V10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139
