"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-1.9007,0,0,0,12.6064,0,-3.7811,0,-4.774,0,0,0,0,15.312,-2.9603,0.0267,0,0,0,0
"V2",0,0.7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.7168,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-175.6111,0,0,346.5634,0,28.557,0,-63.1043,0,0,-204.0601,0,0,0,0,0,0,0,0,0
"V5",0,0,0,0.6023,1.1415,-0.0989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,-0.7439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6121
"V7",0,0,0,0,0,0,0.9931,0,0,-0.9183,0,0,0,0,0,0,0,0,0,0
"V8",0,0.1818,0,0,0,0,0,1.359,0.8535,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,-0.2272,0,-0.8647,0.1641,0,0,0,0,0,0,0,0,0.0017,0,0
"V10",0,0,0,0,0,0.6124,0,0,0,-1.8343,0,0,0,0,0,-0.6582,0,0,0,0
