"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",-1.6774,0,0,0,11.9184,0,-4.0541,0,-4.3144,0,0,0,0,13.7964,-2.789,0.0389,0,0,0,0
"V2",0,0.7158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.6855,0.0516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",-235.8619,0,0,465.8278,0,45.6043,0,-84.9993,0,0,-274.7024,0,0,0,0,0,0,0,0,0
"V5",0,0,0,0.5682,1.1411,-0.1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,-0.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6127
"V7",0,0,0,0,0,0,0.9932,0,0,-0.9004,0,0,0,0,0,0,0,0,0,0
"V8",0,0.1899,0,0,0,0,0,1.3565,0.8538,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,-0.2674,0,-0.8602,0.1648,0,0,0,0,0,0,0,0,0.0019,0,0
"V10",0,0,0,0,0,0.6177,0,0,0,-1.8433,0,0,0,0,0,-0.663,0,0,0,0
