"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.6668,0,0,0,0,0,0,0,-0.0829,0,0,0,0,0,0,0.1069,0,0.1609,0,0
"X2",0,0.5699,0.1181,0,-0.1066,0,0,-0.1226,0,-0.1218,0,0,0,0,0.1637,0,0,0.276,0,0.1382
"X3",0,0,0.4569,0,0,0,0.0456,0,-0.0267,0,0,0.412,0,0,0,0,0,0,0,0.0832
"X4",0,0,-0.0944,0.556,0,0,0,0,0,0,0.0588,0.1666,0,0,0.199,0,0.1242,0,0,0
"X5",0,0,0,0.1491,0.6215,0,-0.0795,0,0,-0.0995,0,0,0,0,0,0.1249,0.1022,0,0,0.0995
"X6",0,0,0,-0.0575,0,0.4732,0,0,0,0.1815,0,0,0,0.1724,0,0,0,0,0.1774,0
"X7",0,0,0,0,0,-0.0786,0.5811,0,0,0,0,0,0.1914,0,0,0,0,0,0,0.2289
"X8",0,0,0,0,0,-0.0616,0,0.602,0.1688,-0.0808,0,0,0,0,0,0.1572,0,0,0,0.0727
"X9",-0.043,-0.0963,0,0,0,0,0,0,0.5214,0,0,0.158,0,0.1157,0,0,0,0.272,0,0.0426
"X10",0,0,0,0,0,0,0.0532,0,0,0.4442,0,0,0,0,0,0.4102,0,0,0,0
