"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0948,0,0,0,0.2375,0,0.8259,0,0.3082,0,0,0,0,0.6055,0.0651,0.0492,0,0,0,0
"V2",0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.0111,0.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",300.3902,0,0,493.1747,0,296.3205,0,418.8895,0,0,350.4793,0,0,0,0,0,0,0,0,0
"V5",0,0,0,3e-04,1e-04,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019
"V7",0,0,0,0,0,0,0.0014,0,0,0.0019,0,0,0,0,0,0,0,0,0,0
"V8",0,0.0098,0,0,0,0,0,0.0018,6e-04,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0.0016,0,0.0088,0.0018,0,0,0,0,0,0,0,0,0.0061,0,0
"V10",0,0,0,0,0,0.0057,0,0,0,0.0169,0,0,0,0,0,0.0199,0,0,0,0
