"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.1085,0,0,0,0.2609,0,0.9153,0,0.3384,0,0,0,0,0.6689,0.0701,0.0534,0,0,0,0
"V2",0,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.0108,0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",278.2096,0,0,457.0957,0,275.0638,0,389.3225,0,0,325.2265,0,0,0,0,0,0,0,0,0
"V5",0,0,0,3e-04,1e-04,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
"V7",0,0,0,0,0,0,0.0016,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"V8",0,0.0094,0,0,0,0,0,0.0018,6e-04,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0.0016,0,0.0084,0.0017,0,0,0,0,0,0,0,0,0.0058,0,0
"V10",0,0,0,0,0,0.0056,0,0,0,0.0167,0,0,0,0,0,0.0196,0,0,0,0
