"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0924,0,0,0,0.2287,0,0.7974,0,0.2975,0,0,0,0,0.5841,0.0626,0.0487,0,0,0,0
"V2",0,0.0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0.011,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",66.5064,0,0,109.2864,0,65.6154,0,93.1924,0,0,77.8055,0,0,0,0,0,0,0,0,0
"V5",0,0,0,3e-04,1e-04,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019
"V7",0,0,0,0,0,0,0.0015,0,0,0.0019,0,0,0,0,0,0,0,0,0,0
"V8",0,0.0098,0,0,0,0,0,0.0017,5e-04,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0.0016,0,0.0084,0.0017,0,0,0,0,0,0,0,0,0.0059,0,0
"V10",0,0,0,0,0,0.0058,0,0,0,0.017,0,0,0,0,0,0.0201,0,0,0,0
