"lhs","op","rhs","count.group"
"X4","~","X1",60
"X5","~","X1",60
"X9","~","X1",60
"X1","~","X10",60
"X2","~","X10",60
"X5","~","X10",60
"X6","~","X10",60
"X7","~","X10",60
"X8","~","X10",60
"X9","~","X10",60
"X1","~","X10lag",60
"X10","~","X10lag",60
"X4","~","X10lag",60
"X5","~","X10lag",60
"X6","~","X10lag",60
"X8","~","X10lag",60
"X1","~","X1lag",60
"X4","~","X1lag",60
"X5","~","X1lag",60
"X1","~","X2",60
"X1","~","X2lag",60
"X2","~","X2lag",60
"X3","~","X2lag",60
"X4","~","X2lag",60
"X5","~","X2lag",60
"X7","~","X2lag",60
"X1","~","X3",60
"X2","~","X3",60
"X4","~","X3",60
"X5","~","X3",60
"X8","~","X3",60
"X9","~","X3",60
"X1","~","X3lag",60
"X2","~","X3lag",60
"X3","~","X3lag",60
"X4","~","X3lag",60
"X7","~","X3lag",60
"X8","~","X3lag",60
"X1","~","X4",60
"X5","~","X4",60
"X9","~","X4",60
"X1","~","X4lag",60
"X4","~","X4lag",60
"X5","~","X4lag",60
"X9","~","X4lag",60
"X1","~","X5",60
"X4","~","X5lag",60
"X5","~","X5lag",60
"X9","~","X5lag",60
"X1","~","X6",60
"X2","~","X6",60
"X5","~","X6",60
"X7","~","X6",60
"X8","~","X6",60
"X9","~","X6",60
"X1","~","X6lag",60
"X10","~","X6lag",60
"X2","~","X6lag",60
"X4","~","X6lag",60
"X5","~","X6lag",60
"X6","~","X6lag",60
"X7","~","X6lag",60
"X8","~","X6lag",60
"X9","~","X6lag",60
"X1","~","X7",60
"X2","~","X7",60
"X4","~","X7",60
"X5","~","X7",60
"X9","~","X7",60
"X2","~","X7lag",60
"X4","~","X7lag",60
"X5","~","X7lag",60
"X7","~","X7lag",60
"X9","~","X7lag",60
"X5","~","X8",60
"X9","~","X8",60
"X4","~","X8lag",60
"X5","~","X8lag",60
"X8","~","X8lag",60
"X4","~","X9",60
"X5","~","X9",60
"X4","~","X9lag",60
"X5","~","X9lag",60
"X8","~","X9lag",60
"X9","~","X9lag",60
