"lhs","op","rhs","count.group"
"X1","~","X1lag",60
"X5","~","X2",60
"X1","~","X2lag",60
"X2","~","X2lag",60
"X3","~","X2lag",60
"X4","~","X2lag",60
"X5","~","X2lag",60
"X6","~","X2lag",60
"X2","~","X3",60
"X4","~","X3",60
"X5","~","X3",60
"X7","~","X3",60
"X1","~","X3lag",60
"X2","~","X3lag",60
"X3","~","X3lag",60
"X4","~","X3lag",60
"X5","~","X3lag",60
"X6","~","X3lag",60
"X3","~","X4",60
"X5","~","X4",60
"X1","~","X4lag",60
"X3","~","X4lag",60
"X4","~","X4lag",60
"X5","~","X4lag",60
"X7","~","X4lag",60
"X1","~","X5",60
"X2","~","X5",60
"X7","~","X5",60
"X1","~","X5lag",60
"X2","~","X5lag",60
"X4","~","X5lag",60
"X5","~","X5lag",60
"X7","~","X5lag",60
"X5","~","X6",60
"X7","~","X6",60
"X4","~","X6lag",60
"X5","~","X6lag",60
"X6","~","X6lag",60
"X1","~","X7",60
"X4","~","X7",60
"X5","~","X7",60
"X6","~","X7",60
"X2","~","X7lag",60
"X4","~","X7lag",60
"X6","~","X7lag",60
"X7","~","X7lag",60
"X2","~","X8",60
"X3","~","X8",60
"X4","~","X8",60
"X5","~","X8",60
"X1","~","X8lag",60
"X3","~","X8lag",60
"X4","~","X8lag",60
"X5","~","X8lag",60
"X7","~","X8lag",60
"X8","~","X8lag",60
