"lhs","op","rhs","count.group"
"X1","~","X1lag",60
"X1","~","X2",60
"X3","~","X2",60
"X4","~","X2",60
"X1","~","X2lag",60
"X2","~","X2lag",60
"X3","~","X2lag",60
"X4","~","X2lag",60
"X5","~","X2lag",60
"X1","~","X3",60
"X2","~","X3",60
"X4","~","X3",60
"X1","~","X3lag",60
"X2","~","X3lag",60
"X3","~","X3lag",60
"X5","~","X3lag",60
"X1","~","X4",60
"X2","~","X4",60
"X3","~","X4lag",60
"X4","~","X4lag",60
"X1","~","X5",60
"X2","~","X5",60
"X3","~","X5",60
"X4","~","X5",60
"X1","~","X5lag",60
"X3","~","X5lag",60
"X4","~","X5lag",60
"X5","~","X5lag",60
"X1","~","X6",60
"X4","~","X6",60
"X5","~","X6",60
"X2","~","X6lag",60
"X4","~","X6lag",60
"X5","~","X6lag",60
"X6","~","X6lag",60
