"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data1",66.9158,75,77,0.7358,0,0.0042,1.0001,1,-43013.4085,-43515.217,21834.6085,0.9575,0.9909,0.9884,0.984,0.9656,0.9284,0.9141,0.3827,"converged normally"
"data10",80.1393,75,77,0.3211,0.0037,0.0042,0.9999,1,-47016.6272,-47518.4357,23836.2179,0.9515,0.9883,0.9859,0.9828,0.9581,0.9255,0.9059,0.3586,"converged normally"
"data11",81.8544,75,77,0.2751,0.0043,0.0044,0.9999,1,-46962.648,-47464.4565,23809.2283,0.9496,0.9875,0.9851,0.9833,0.9569,0.925,0.9066,0.3796,"converged normally"
"data12",67.3067,75,77,0.7244,0,0.0029,1.0001,1,-45667.619,-46169.4275,23161.7137,0.954,0.9903,0.9876,0.9824,0.9637,0.9213,0.9099,0.363,"converged normally"
"data13",86.0842,75,77,0.1794,0.0054,0.0026,0.9999,0.9999,-42431.2379,-42933.0463,21543.5232,0.9598,0.9917,0.9896,0.984,0.9662,0.927,0.9157,0.3771,"converged normally"
"data14",63.9865,75,77,0.8139,0,0.0034,1.0001,1,-43243.5712,-43745.3797,21949.6899,0.9592,0.9918,0.9888,0.9839,0.9667,0.9217,0.9133,0.3931,"converged normally"
"data15",61.5975,75,77,0.8669,0,0.0047,1.0001,1,-46307.529,-46809.3375,23481.6687,0.9514,0.9874,0.9844,0.9848,0.9541,0.9317,0.911,0.4,"converged normally"
"data16",71.3735,75,77,0.5973,0,0.0036,1,1,-45772.0051,-46273.8136,23213.9068,0.9534,0.9893,0.9863,0.9833,0.9579,0.9232,0.9047,0.3849,"converged normally"
"data17",68.1435,75,77,0.6995,0,0.003,1.0001,1,-45477.0776,-45978.8861,23066.4431,0.9556,0.9908,0.9885,0.9822,0.9652,0.9201,0.911,0.359,"converged normally"
"data18",61.8582,75,77,0.8616,0,0.0051,1.0001,1,-44614.1069,-45115.9154,22634.9577,0.9553,0.9894,0.9869,0.9848,0.9608,0.9323,0.917,0.409,"converged normally"
"data19",41.277,75,77,0.9995,0,0.0018,1.0004,1,-47058.2147,-47560.0232,23857.0116,0.9526,0.9882,0.9845,0.9827,0.9568,0.9239,0.9032,0.3624,"converged normally"
"data2",68.5157,75,77,0.6882,0,0.0021,1.0001,1,-46080.8817,-46582.6901,23368.3451,0.9528,0.9884,0.9859,0.9842,0.9564,0.9304,0.9096,0.3958,"converged normally"
"data20",61.8994,75,77,0.8608,0,0.0026,1.0001,1,-46451.6025,-46953.411,23553.7055,0.9506,0.989,0.9854,0.9822,0.957,0.9229,0.9007,0.3593,"converged normally"
"data21",64.5449,75,77,0.8,0,0.0044,1.0001,1,-47545.6087,-48047.4172,24100.7086,0.9511,0.9869,0.9838,0.9834,0.9507,0.9238,0.9024,0.3769,"converged normally"
"data22",66.5928,75,77,0.745,0,0.0027,1.0001,1,-47461.9065,-47963.715,24058.8575,0.9529,0.9884,0.9856,0.983,0.9556,0.9276,0.9041,0.3774,"converged normally"
"data23",76.3414,75,77,0.4352,0.0019,0.0045,1,1,-45208.491,-45710.2995,22932.1497,0.9523,0.9879,0.9855,0.9851,0.9564,0.9364,0.9145,0.3794,"converged normally"
"data24",71.4717,75,77,0.5941,0,0.003,1,1,-45354.3057,-45856.1141,23005.0571,0.9477,0.9876,0.9851,0.9838,0.9576,0.9302,0.9097,0.3784,"converged normally"
"data25",69.9125,75,77,0.6445,0,0.0027,1.0001,1,-44154.8929,-44656.7014,22405.3507,0.9551,0.9898,0.9875,0.9836,0.9622,0.9282,0.9144,0.3601,"converged normally"
"data26",79.7043,75,77,0.3334,0.0035,0.0037,1,1,-45082.2833,-45584.0917,22869.0459,0.956,0.9898,0.987,0.9832,0.9622,0.9279,0.9106,0.3658,"converged normally"
"data27",69.5137,75,77,0.6571,0,0.0037,1.0001,1,-45114.3078,-45616.1163,22885.0581,0.9569,0.9895,0.9871,0.9842,0.9621,0.9299,0.9135,0.389,"converged normally"
"data28",75.9721,75,77,0.4469,0.0016,0.0045,1,1,-46905.9953,-47407.8038,23780.9019,0.9515,0.9881,0.9853,0.9834,0.9562,0.9283,0.908,0.3697,"converged normally"
"data29",69.011,75,77,0.6729,0,0.0035,1.0001,1,-43853.6085,-44355.417,22254.7085,0.9576,0.9893,0.9866,0.9863,0.9617,0.9347,0.9179,0.3827,"converged normally"
"data3",68.0509,75,77,0.7023,0,0.0044,1.0001,1,-47491.6606,-47993.4691,24073.7346,0.9531,0.9887,0.9857,0.9822,0.9578,0.9277,0.9059,0.3709,"converged normally"
"data30",80.7881,75,77,0.3032,0.0039,0.0037,0.9999,1,-46420.6777,-46922.4862,23538.2431,0.9527,0.9896,0.9869,0.9826,0.9608,0.9218,0.9071,0.3952,"converged normally"
"data31",80.2858,75,77,0.317,0.0038,0.0038,0.9999,1,-47399.4204,-47901.2288,24027.6144,0.9529,0.9884,0.9859,0.983,0.9569,0.9205,0.9044,0.3826,"converged normally"
