"lhs","op","rhs","count.group"
"V1","~","V10",9
"V4","~","V10",9
"V6","~","V10",9
"V9","~","V10",9
"V10","~","V10lag",9
"V5","~","V10lag",9
"V6","~","V10lag",9
"V1","~","V1lag",9
"V7","~","V2",9
"V8","~","V2",9
"V2","~","V2lag",9
"V3","~","V2lag",9
"V7","~","V2lag",9
"V9","~","V2lag",9
"V1","~","V3lag",9
"V2","~","V3lag",9
"V3","~","V3lag",9
"V5","~","V3lag",9
"V8","~","V3lag",9
"V5","~","V4",9
"V1","~","V4lag",9
"V4","~","V4lag",9
"V1","~","V5",9
"V4","~","V5",9
"V4","~","V5lag",9
"V5","~","V5lag",9
"V7","~","V6",9
"V1","~","V6lag",9
"V10","~","V6lag",9
"V2","~","V6lag",9
"V6","~","V6lag",9
"V7","~","V6lag",9
"V1","~","V7lag",9
"V4","~","V7lag",9
"V5","~","V7lag",9
"V7","~","V7lag",9
"V1","~","V8",9
"V2","~","V8",9
"V3","~","V8",9
"V1","~","V8lag",9
"V2","~","V8lag",9
"V5","~","V8lag",9
"V8","~","V8lag",9
"V9","~","V8lag",9
"V1","~","V9",9
"V1","~","V9lag",9
"V2","~","V9lag",9
"V4","~","V9lag",9
"V5","~","V9lag",9
"V9","~","V9lag",9
