"lhs","op","rhs","count.group"
"V4","~","V1",25
"V6","~","V10",25
"V10","~","V10lag",25
"V7","~","V10lag",25
"V1","~","V1lag",25
"V4","~","V1lag",25
"V2","~","V2lag",25
"V3","~","V2lag",25
"V8","~","V2lag",25
"V3","~","V3lag",25
"V1","~","V4",25
"V4","~","V4lag",25
"V5","~","V4lag",25
"V1","~","V5",25
"V1","~","V5lag",25
"V5","~","V5lag",25
"V1","~","V6",25
"V10","~","V6",25
"V10","~","V6lag",25
"V4","~","V6lag",25
"V5","~","V6lag",25
"V6","~","V6lag",25
"V9","~","V6lag",25
"V1","~","V7lag",25
"V7","~","V7lag",25
"V9","~","V8",25
"V4","~","V8lag",25
"V8","~","V8lag",25
"V9","~","V8lag",25
"V1","~","V9lag",25
"V8","~","V9lag",25
"V9","~","V9lag",25
