"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data1",56.7296,41,111,0.052,0.0088,0.003,0.9998,0.9999,113680.2268,112956.8406,-56367.4203,0.9998,1,0.9852,0.8465,0.9767,0.937,0.3287,0.8295,"converged normally"
"data10",75.5635,41,111,8e-04,0.013,0.0051,0.9996,0.9999,111383.3389,110659.9527,-55218.9763,0.9998,1,0.9816,0.7354,0.9759,0.9303,0.3001,0.8378,"converged normally"
"data11",50.3625,41,111,0.1499,0.0068,0.003,0.9999,1,109893.9439,109170.5577,-54474.2789,0.9998,1,0.9805,0.7619,0.9751,0.9217,0.3186,0.8357,"converged normally"
"data12",50.2215,41,111,0.1531,0.0067,0.0039,0.9999,1,111731.4726,111008.0863,-55393.0432,0.9998,1,0.9854,0.8657,0.9774,0.9353,0.3344,0.8411,"converged normally"
"data13",760.2746,41,111,0,0.0592,0.0039,0.9917,0.9972,113835.094,113111.7077,-56444.8539,0.9998,1,0.9535,0.9785,0.9447,0.3251,0.8372,760.2746,"converged normally"
"data14",700.2448,41,111,0,0.0567,0.006,0.9922,0.9973,113741.7031,113018.3169,-56398.1585,0.9998,1,0.9434,0.9761,0.9369,0.3399,0.8311,700.2448,"converged normally"
"data15",701.8696,41,111,0,0.0568,0.006,0.9923,0.9974,114887.823,114164.4368,-56971.2184,0.9998,1,0.9466,0.9791,0.9398,0.3411,0.8505,701.8696,"converged normally"
"data16",711.953,41,111,0,0.0572,0.0057,0.9922,0.9973,114531.9781,113808.5918,-56793.2959,0.9998,1,0.9521,0.98,0.9445,0.3074,0.8473,711.953,"converged normally"
"data17",613.9645,41,111,0,0.0529,0.0039,0.9932,0.9977,114304.5656,113581.1794,-56679.5897,0.9998,1,0.9428,0.9806,0.9316,0.328,0.8595,613.9645,"converged normally"
"data18",700.8498,41,111,0,0.0567,0.0031,0.9922,0.9973,113666.2602,112942.874,-56360.437,0.9998,1,0.9451,0.9766,0.9382,0.3344,0.8344,700.8498,"converged normally"
"data19",674.1118,41,111,0,0.0556,0.0035,0.9925,0.9974,112068.3716,111344.9854,-55561.4927,0.9998,1,0.9467,0.9764,0.938,0.3198,0.8264,674.1118,"converged normally"
"data2",69.5895,41,111,0.0035,0.0118,0.0029,0.9997,0.9999,113346.2452,112622.8589,-56200.4295,0.9998,1,0.9867,0.867,0.9781,0.9406,0.3367,0.8401,"converged normally"
"data20",54.3537,41,111,0.0791,0.0081,0.002,0.9998,0.9999,113778.658,113055.2718,-56416.6359,0.9999,1,0.9876,0.8909,0.9785,0.9471,0.3571,0.8364,"converged normally"
"data21",683.4424,41,111,0,0.056,0.003,0.9923,0.9974,112645.8052,111922.4189,-55850.2095,0.9998,1,0.9461,0.9763,0.9348,0.3544,0.8281,683.4424,"converged normally"
"data22",598.7489,41,111,0,0.0522,0.004,0.9934,0.9977,112812.0641,112088.6778,-55933.3389,0.9998,1,0.9416,0.9769,0.9369,0.3277,0.8285,598.7489,"converged normally"
"data23",705.2326,41,111,0,0.0569,0.0091,0.9921,0.9973,112892.4365,112169.0503,-55973.5251,0.9998,1,0.9472,0.9798,0.9316,0.3331,0.8575,705.2326,"converged normally"
"data24",694.3649,41,111,0,0.0565,0.0035,0.9926,0.9975,115428.3987,114705.0125,-57241.5062,0.9999,1,0.9497,0.9789,0.953,0.3105,0.8299,694.3649,"converged normally"
"data25",687.6646,41,111,0,0.0562,0.0043,0.9925,0.9974,113182.344,112458.9577,-56118.4789,0.9998,1,0.9477,0.9784,0.9427,0.3296,0.8375,687.6646,"converged normally"
"data26",70.2743,41,111,0.003,0.012,0.0025,0.9997,0.9999,111778.3885,111055.0023,-55416.5011,0.9998,1,0.9831,0.7326,0.977,0.9357,0.3288,0.8357,"converged normally"
"data27",693.3736,41,111,0,0.0564,0.0048,0.9923,0.9974,113103.9213,112380.5351,-56079.2676,0.9998,1,0.9478,0.9795,0.9389,0.3134,0.8503,693.3736,"converged normally"
"data28",64.6165,41,111,0.0108,0.0107,0.0034,0.9997,0.9999,113956.2063,113232.82,-56505.41,0.9998,1,0.9857,0.833,0.9782,0.9447,0.3208,0.8453,"converged normally"
