"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",1e-04,0,0.0277,0.0105,0,0.0144,0.0245,0.0122,0.0285,0,0,0,0,0,0.0148,0,0,0.0082,0.0176,0.0165
"V2",0,5.1614,5.7162,0,0,1.2808,0,0.9186,1.0592,0,0,0,0,0,0,0,0,3.0034,0,0
"V3",0,0.014,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0,0
"V4",0,0,0,0.3659,0.1123,0,0.5555,0,0.6532,0,0,0,0,0,0.4062,0,0,0,0,0.1877
"V5",0,0,0.0341,0,0.0082,0,0.0307,0.0162,0.0255,0.0183,0,0,0,0.0098,0,0,0,0,0,0
"V6",0,0,0,0,0,0.0212,0,0,0,0.0202,0,0,0,0,0,0,0,0,0,0.0159
"V7",0,0.0076,0,0,0,0.0077,0.0062,0,0,0,0,0.0077,0,0,0,0.0081,0,0,0,0
"V8",0,0,0.0499,0,0,0,0,0.0181,0,0,0,0.0253,0,0,0,0,0,0,0,0
"V9",0,0.009,0,0,0,0,0,0.0059,0.0084,0,0,0,0,0,0,0,0,0,0,0.0076
"V10",0,0,0,0,0,0.0113,0,0,0,0.0128,0,0,0,0,0,0,0,0,0,0
