"V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
60,60,60,60,0,60,0,0,0,60,0,60,60,60,60,60,60,0,0,60
0,60,60,0,0,60,60,0,0,0,0,0,60,0,0,60,60,0,0,60
0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,60,60,60,60,60,60,60,60,60,0,60,0,0,0,60,0,60,0
60,60,0,60,60,60,60,60,60,60,60,0,60,60,0,60,60,60,60,60
0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0
0,60,60,0,0,60,60,0,0,0,0,0,0,0,0,60,0,0,0,60
0,0,60,0,0,60,0,60,60,60,0,0,60,0,0,60,0,0,0,60
0,0,0,60,60,60,60,0,60,0,60,0,60,60,0,60,60,60,0,60
0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,60,0,0,0,0
