"lhs","op","rhs","count.group"
"V4","~","V1",60
"V5","~","V1",60
"V9","~","V1",60
"V1","~","V10",60
"V2","~","V10",60
"V5","~","V10",60
"V7","~","V10",60
"V8","~","V10",60
"V9","~","V10",60
"V1","~","V10lag",60
"V10","~","V10lag",60
"V4","~","V10lag",60
"V5","~","V10lag",60
"V6","~","V10lag",60
"V8","~","V10lag",60
"V1","~","V1lag",60
"V4","~","V1lag",60
"V5","~","V1lag",60
"V1","~","V2",60
"V1","~","V2lag",60
"V2","~","V2lag",60
"V3","~","V2lag",60
"V4","~","V2lag",60
"V5","~","V2lag",60
"V7","~","V2lag",60
"V1","~","V3",60
"V2","~","V3",60
"V4","~","V3",60
"V5","~","V3",60
"V8","~","V3",60
"V9","~","V3",60
"V1","~","V3lag",60
"V2","~","V3lag",60
"V3","~","V3lag",60
"V4","~","V3lag",60
"V7","~","V3lag",60
"V8","~","V3lag",60
"V1","~","V4",60
"V5","~","V4",60
"V9","~","V4",60
"V1","~","V4lag",60
"V4","~","V4lag",60
"V5","~","V4lag",60
"V9","~","V4lag",60
"V1","~","V5",60
"V4","~","V5lag",60
"V5","~","V5lag",60
"V9","~","V5lag",60
"V1","~","V6",60
"V10","~","V6",60
"V2","~","V6",60
"V5","~","V6",60
"V7","~","V6",60
"V8","~","V6",60
"V9","~","V6",60
"V1","~","V6lag",60
"V10","~","V6lag",60
"V2","~","V6lag",60
"V4","~","V6lag",60
"V5","~","V6lag",60
"V6","~","V6lag",60
"V7","~","V6lag",60
"V8","~","V6lag",60
"V9","~","V6lag",60
"V1","~","V7",60
"V2","~","V7",60
"V4","~","V7",60
"V5","~","V7",60
"V9","~","V7",60
"V2","~","V7lag",60
"V4","~","V7lag",60
"V5","~","V7lag",60
"V7","~","V7lag",60
"V9","~","V7lag",60
"V5","~","V8",60
"V9","~","V8",60
"V4","~","V8lag",60
"V5","~","V8lag",60
"V8","~","V8lag",60
"V4","~","V9",60
"V5","~","V9",60
"V4","~","V9lag",60
"V5","~","V9lag",60
"V8","~","V9lag",60
"V9","~","V9lag",60
