"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0096,0.0969,0.1036,0.0185,0,0.09,0,0,0,0.1266,0,0.076,0.0809,0.0212,0.0167,0.0932,0.0421,0,0,0.1012
"V2",0,0.0145,0.0136,0,0,0.0166,0.0068,0,0,0,0,0,0.0134,0,0,0.0164,0.0063,0,0,0.0184
"V3",0,0.0032,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0152,0.1726,0.1015,0.0277,0.0184,0.1923,0.0443,0.1937,0.188,0.231,0.0412,0,0.071,0,0,0,0.0327,0,0.043,0
"V5",0.0027,0.0301,0,0.0047,0.0041,0.0294,0.0095,0.0279,0.0291,0.0341,0.005,0,0.0142,0.0045,0,0.0195,0.0078,0.0135,0.0144,0.0229
"V6",0,0,0,0,0,0.0135,0,0,0,0.0157,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0172,0.0188,0,0,0.0369,0.0152,0,0,0,0,0,0,0,0,0.0338,0,0,0,0.04
"V8",0,0,0.0169,0,0,0.0291,0,0.0207,0.0186,0.0365,0,0,0.0111,0,0,0.0285,0,0,0,0.0329
"V9",0,0,0,0.0027,0.0025,0.0242,0.0078,0,0.0078,0,0.0024,0,0.0129,0.0029,0,0.018,0.006,0.0073,0,0.0207
"V10",0,0,0,0,0,0.0119,0,0,0,0.014,0,0,0,0,0,0.0121,0,0,0,0
