"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0093,0.0973,0.1034,0.0175,0,0.0894,0,0,0,0.1232,0,0.0738,0.0803,0.0203,0.0161,0.091,0.0406,0,0,0.1007
"V2",0,0.0149,0.0136,0,0,0.017,0.0067,0,0,0,0,0,0.0138,0,0,0.0168,0.0065,0,0,0.0193
"V3",0,0.0031,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0149,0.1673,0.1022,0.0271,0.0182,0.1894,0.0435,0.1904,0.1849,0.2292,0.04,0,0.0709,0,0,0,0.0319,0,0.042,0
"V5",0.0027,0.0295,0,0.0046,0.0041,0.0288,0.0092,0.0276,0.0289,0.0337,0.0049,0,0.014,0.0045,0,0.0191,0.0077,0.0133,0.0143,0.0227
"V6",0,0,0,0,0,0.0136,0,0,0,0.0163,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0165,0.0181,0,0,0.0366,0.0146,0,0,0,0,0,0,0,0,0.034,0,0,0,0.0412
"V8",0,0,0.0168,0,0,0.0295,0,0.0206,0.0187,0.038,0,0,0.0113,0,0,0.029,0,0,0,0.0343
"V9",0,0,0,0.0027,0.0024,0.024,0.0076,0,0.0076,0,0.0024,0,0.0128,0.0028,0,0.0179,0.0058,0.0071,0,0.0211
"V10",0,0,0,0,0,0.0117,0,0,0,0.014,0,0,0,0,0,0.0117,0,0,0,0
