"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0094,0.0956,0.0999,0.018,0,0.0888,0,0,0,0.1248,0,0.073,0.079,0.0209,0.0161,0.0913,0.0411,0,0,0.0986
"V2",0,0.0147,0.0136,0,0,0.017,0.007,0,0,0,0,0,0.0137,0,0,0.0168,0.0065,0,0,0.019
"V3",0,0.0032,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0154,0.1721,0.0999,0.0271,0.0184,0.1859,0.0442,0.1956,0.1896,0.2342,0.0409,0,0.0698,0,0,0,0.0318,0,0.0425,0
"V5",0.0027,0.0302,0,0.0047,0.0041,0.0287,0.0095,0.0283,0.0295,0.0346,0.005,0,0.0143,0.0046,0,0.0193,0.0077,0.0136,0.0145,0.0228
"V6",0,0,0,0,0,0.0133,0,0,0,0.0159,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0171,0.0186,0,0,0.0365,0.0151,0,0,0,0,0,0,0,0,0.0337,0,0,0,0.0405
"V8",0,0,0.017,0,0,0.0291,0,0.0207,0.0188,0.037,0,0,0.0112,0,0,0.0286,0,0,0,0.0331
"V9",0,0,0,0.0027,0.0024,0.0237,0.0077,0,0.0076,0,0.0024,0,0.0128,0.0029,0,0.0177,0.0058,0.0071,0,0.0205
"V10",0,0,0,0,0,0.0119,0,0,0,0.0142,0,0,0,0,0,0.012,0,0,0,0
