"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0094,0.0972,0.1031,0.0179,0,0.09,0,0,0,0.1252,0,0.0751,0.0788,0.0206,0.0165,0.0922,0.041,0,0,0.0999
"V2",0,0.0147,0.0134,0,0,0.0166,0.0068,0,0,0,0,0,0.0133,0,0,0.0164,0.0064,0,0,0.0188
"V3",0,0.0031,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0155,0.1729,0.1027,0.028,0.0189,0.1944,0.0446,0.1947,0.1903,0.2357,0.0417,0,0.0704,0,0,0,0.0331,0,0.0438,0
"V5",0.0027,0.0299,0,0.0047,0.0041,0.0292,0.0094,0.0275,0.0289,0.0344,0.005,0,0.0139,0.0045,0,0.0194,0.0078,0.0131,0.0141,0.0226
"V6",0,0,0,0,0,0.0133,0,0,0,0.0158,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0168,0.0182,0,0,0.0362,0.0149,0,0,0,0,0,0,0,0,0.0336,0,0,0,0.0404
"V8",0,0,0.0163,0,0,0.0293,0,0.02,0.0181,0.037,0,0,0.0109,0,0,0.029,0,0,0,0.0333
"V9",0,0,0,0.0027,0.0025,0.0243,0.0078,0,0.0079,0,0.0024,0,0.0129,0.0029,0,0.0181,0.006,0.0073,0,0.021
"V10",0,0,0,0,0,0.0119,0,0,0,0.0143,0,0,0,0,0,0.0121,0,0,0,0
