"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0097,0.1018,0.108,0.0185,0,0.0938,0,0,0,0.1285,0,0.078,0.0837,0.0218,0.017,0.0956,0.0429,0,0,0.1046
"V2",0,0.0147,0.0135,0,0,0.0168,0.0068,0,0,0,0,0,0.0136,0,0,0.0167,0.0065,0,0,0.0189
"V3",0,0.0031,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.016,0.1806,0.1068,0.0281,0.019,0.204,0.0448,0.2052,0.1987,0.2468,0.0433,0,0.073,0,0,0,0.0329,0,0.044,0
"V5",0.0027,0.03,0,0.0046,0.0041,0.0296,0.0093,0.0281,0.0292,0.0346,0.005,0,0.0143,0.0045,0,0.0194,0.0078,0.0134,0.0142,0.0227
"V6",0,0,0,0,0,0.0135,0,0,0,0.0161,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0166,0.0183,0,0,0.0362,0.0147,0,0,0,0,0,0,0,0,0.0333,0,0,0,0.0402
"V8",0,0,0.0169,0,0,0.0288,0,0.0204,0.0184,0.0364,0,0,0.0108,0,0,0.0282,0,0,0,0.033
"V9",0,0,0,0.0027,0.0025,0.0243,0.0078,0,0.0077,0,0.0024,0,0.0132,0.003,0,0.0183,0.0059,0.0074,0,0.0212
"V10",0,0,0,0,0,0.0118,0,0,0,0.0141,0,0,0,0,0,0.0119,0,0,0,0
