"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0094,0.0979,0.1049,0.0178,0,0.089,0,0,0,0.1258,0,0.076,0.08,0.0205,0.0164,0.0932,0.0426,0,0,0.1015
"V2",0,0.0147,0.0137,0,0,0.0164,0.0069,0,0,0,0,0,0.0135,0,0,0.0162,0.0064,0,0,0.0188
"V3",0,0.0032,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0153,0.1755,0.1057,0.0276,0.0184,0.1979,0.046,0.1988,0.1925,0.2388,0.0418,0,0.0723,0,0,0,0.0332,0,0.0437,0
"V5",0.0027,0.0302,0,0.0047,0.0041,0.0298,0.0097,0.0283,0.0294,0.0348,0.005,0,0.0143,0.0046,0,0.0196,0.008,0.0136,0.0144,0.023
"V6",0,0,0,0,0,0.0133,0,0,0,0.0161,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0171,0.0187,0,0,0.0358,0.0151,0,0,0,0,0,0,0,0,0.0327,0,0,0,0.0403
"V8",0,0,0.017,0,0,0.0289,0,0.0205,0.0183,0.0369,0,0,0.0109,0,0,0.0283,0,0,0,0.0334
"V9",0,0,0,0.0027,0.0024,0.0245,0.0079,0,0.0078,0,0.0024,0,0.013,0.0028,0,0.0181,0.006,0.0074,0,0.0212
"V10",0,0,0,0,0,0.0116,0,0,0,0.0142,0,0,0,0,0,0.0118,0,0,0,0
