"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0096,0.1004,0.1051,0.0182,0,0.0926,0,0,0,0.1295,0,0.0765,0.0815,0.0213,0.0169,0.0935,0.0427,0,0,0.1031
"V2",0,0.015,0.0137,0,0,0.0167,0.0069,0,0,0,0,0,0.0136,0,0,0.0165,0.0066,0,0,0.0189
"V3",0,0.0029,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.016,0.1792,0.1049,0.0278,0.0191,0.196,0.0455,0.1982,0.192,0.2384,0.0419,0,0.072,0,0,0,0.0338,0,0.0443,0
"V5",0.0027,0.03,0,0.0046,0.0041,0.0288,0.0094,0.0275,0.0287,0.0339,0.0049,0,0.0138,0.0045,0,0.019,0.0078,0.0132,0.0142,0.0227
"V6",0,0,0,0,0,0.0134,0,0,0,0.0159,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0163,0.018,0,0,0.0354,0.0147,0,0,0,0,0,0,0,0,0.0329,0,0,0,0.0396
"V8",0,0,0.0164,0,0,0.0293,0,0.0201,0.0181,0.0369,0,0,0.0108,0,0,0.0287,0,0,0,0.0333
"V9",0,0,0,0.0027,0.0024,0.0239,0.0078,0,0.0077,0,0.0024,0,0.0127,0.0029,0,0.0179,0.0059,0.0072,0,0.0209
"V10",0,0,0,0,0,0.0119,0,0,0,0.0141,0,0,0,0,0,0.0119,0,0,0,0
