"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0093,0.0984,0.1034,0.0179,0,0.0914,0,0,0,0.1233,0,0.0758,0.0803,0.0211,0.0164,0.0931,0.0417,0,0,0.1021
"V2",0,0.0148,0.0136,0,0,0.0168,0.0069,0,0,0,0,0,0.0134,0,0,0.0166,0.0065,0,0,0.0189
"V3",0,0.0031,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0165,0.1882,0.1092,0.0295,0.0196,0.2142,0.0465,0.214,0.2076,0.257,0.0454,0,0.0737,0,0,0,0.0346,0,0.0455,0
"V5",0.0028,0.0304,0,0.0047,0.0042,0.0304,0.0095,0.0287,0.0299,0.0353,0.0051,0,0.0144,0.0047,0,0.0202,0.008,0.0138,0.0147,0.0232
"V6",0,0,0,0,0,0.0135,0,0,0,0.0159,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0168,0.0183,0,0,0.0364,0.0149,0,0,0,0,0,0,0,0,0.0336,0,0,0,0.0402
"V8",0,0,0.0166,0,0,0.0294,0,0.0203,0.0185,0.0365,0,0,0.0108,0,0,0.0288,0,0,0,0.0334
"V9",0,0,0,0.0028,0.0025,0.0245,0.0078,0,0.0078,0,0.0024,0,0.0129,0.003,0,0.0183,0.006,0.0072,0,0.0211
"V10",0,0,0,0,0,0.0119,0,0,0,0.014,0,0,0,0,0,0.0119,0,0,0,0
