"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0095,0.0959,0.1024,0.0179,0,0.091,0,0,0,0.1235,0,0.0748,0.0793,0.0204,0.016,0.0918,0.0413,0,0,0.1009
"V2",0,0.0146,0.0136,0,0,0.0168,0.0069,0,0,0,0,0,0.0135,0,0,0.0166,0.0064,0,0,0.0189
"V3",0,0.0031,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0153,0.1691,0.102,0.0271,0.0184,0.1882,0.0438,0.1886,0.1822,0.2276,0.0397,0,0.0703,0,0,0,0.0326,0,0.0429,0
"V5",0.0028,0.0303,0,0.0048,0.0042,0.0292,0.0095,0.0279,0.0291,0.0343,0.0049,0,0.0143,0.0046,0,0.0197,0.0079,0.0132,0.0141,0.0231
"V6",0,0,0,0,0,0.0134,0,0,0,0.0159,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0168,0.0184,0,0,0.0363,0.015,0,0,0,0,0,0,0,0,0.0338,0,0,0,0.0404
"V8",0,0,0.0162,0,0,0.0292,0,0.02,0.018,0.0366,0,0,0.011,0,0,0.0286,0,0,0,0.0332
"V9",0,0,0,0.0028,0.0025,0.0246,0.008,0,0.008,0,0.0024,0,0.0132,0.003,0,0.0186,0.0062,0.0074,0,0.0215
"V10",0,0,0,0,0,0.0119,0,0,0,0.0141,0,0,0,0,0,0.012,0,0,0,0
