"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0094,0.0959,0.1023,0.018,0,0.0888,0,0,0,0.1248,0,0.0753,0.0797,0.0209,0.0162,0.0911,0.0414,0,0,0.0996
"V2",0,0.0145,0.0134,0,0,0.0164,0.0069,0,0,0,0,0,0.0135,0,0,0.0162,0.0064,0,0,0.0187
"V3",0,0.0032,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0158,0.1823,0.1058,0.029,0.0187,0.2004,0.0459,0.2069,0.2003,0.2475,0.0436,0,0.0716,0,0,0,0.0329,0,0.0434,0
"V5",0.0027,0.0302,0,0.0047,0.0041,0.029,0.0095,0.0284,0.0295,0.0347,0.005,0,0.0143,0.0045,0,0.0192,0.0077,0.0136,0.0144,0.0226
"V6",0,0,0,0,0,0.0134,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0172,0.0187,0,0,0.036,0.0151,0,0,0,0,0,0,0,0,0.0334,0,0,0,0.0404
"V8",0,0,0.0169,0,0,0.0286,0,0.0205,0.0185,0.0367,0,0,0.0109,0,0,0.0282,0,0,0,0.0328
"V9",0,0,0,0.0027,0.0024,0.0235,0.0077,0,0.0076,0,0.0024,0,0.0129,0.0029,0,0.0175,0.0058,0.0072,0,0.0206
"V10",0,0,0,0,0,0.0118,0,0,0,0.0142,0,0,0,0,0,0.0119,0,0,0,0
