"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0091,0.0933,0.1025,0.0171,0,0.0896,0,0,0,0.1211,0,0.0742,0.0779,0.0196,0.016,0.0905,0.0408,0,0,0.0982
"V2",0,0.0144,0.0134,0,0,0.0168,0.0068,0,0,0,0,0,0.0135,0,0,0.0166,0.0063,0,0,0.0186
"V3",0,0.003,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0153,0.1705,0.104,0.0281,0.0187,0.2003,0.0446,0.1944,0.1892,0.2402,0.0415,0,0.0716,0,0,0,0.0326,0,0.0438,0
"V5",0.0026,0.0288,0,0.0045,0.0041,0.0292,0.0093,0.0272,0.0285,0.0341,0.0049,0,0.0137,0.0044,0,0.0191,0.0076,0.013,0.0141,0.0223
"V6",0,0,0,0,0,0.0133,0,0,0,0.0156,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0167,0.0182,0,0,0.0371,0.015,0,0,0,0,0,0,0,0,0.0342,0,0,0,0.0402
"V8",0,0,0.0162,0,0,0.0294,0,0.0201,0.0184,0.0365,0,0,0.0108,0,0,0.0288,0,0,0,0.0329
"V9",0,0,0,0.0027,0.0024,0.0246,0.0078,0,0.0076,0,0.0024,0,0.0128,0.0029,0,0.0181,0.0058,0.0071,0,0.0208
"V10",0,0,0,0,0,0.012,0,0,0,0.014,0,0,0,0,0,0.0122,0,0,0,0
