"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0096,0.0981,0.1047,0.0181,0,0.0916,0,0,0,0.1282,0,0.0754,0.0825,0.0211,0.0166,0.0937,0.0417,0,0,0.1046
"V2",0,0.0149,0.0138,0,0,0.0171,0.0069,0,0,0,0,0,0.0137,0,0,0.0169,0.0065,0,0,0.0196
"V3",0,0.0031,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0164,0.1861,0.11,0.0289,0.0192,0.2067,0.0458,0.2082,0.2029,0.2551,0.0441,0,0.0736,0,0,0,0.0337,0,0.046,0
"V5",0.0028,0.0304,0,0.0047,0.0041,0.03,0.0094,0.0283,0.0295,0.0353,0.0051,0,0.0141,0.0045,0,0.0199,0.0079,0.0135,0.0145,0.0235
"V6",0,0,0,0,0,0.0135,0,0,0,0.0164,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0166,0.0181,0,0,0.0366,0.0148,0,0,0,0,0,0,0,0,0.0333,0,0,0,0.0412
"V8",0,0,0.0166,0,0,0.0292,0,0.0202,0.0185,0.0377,0,0,0.0111,0,0,0.0285,0,0,0,0.0342
"V9",0,0,0,0.0027,0.0024,0.0246,0.0077,0,0.0077,0,0.0024,0,0.0127,0.0029,0,0.0182,0.0059,0.0073,0,0.0215
"V10",0,0,0,0,0,0.0115,0,0,0,0.014,0,0,0,0,0,0.0116,0,0,0,0
